Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Номер сварного соединения;Размер свариваемых элементов;Клеймо сварщика;Заключение;Лаборатория;Файл;Оригинал;Страницы
PT 0410-1692;03.03.2020;P1Y18421;4.1.3.11.103;1-11-0A1048;0055-4.1.3.11.103-TM.IS-0018;B(a)-I;F1.19;219.1x12.7+219.1x12.7;9027;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134578.pdf;К16.pdf;000400
TT1828-70576;29.12.2019;P1Y2090;4.1.3.11.119;1-11-0A1048;0055-4.1.3.11.119-TM.IS-0126;B(a)-I;F1;219.1x12.7+219.1x12.7;8M5B;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134583.pdf;К16.pdf;000405
NPG004-PT-028;15.12.2019;P1Y18424;4.1.3.11.103;1-11-0A1050;0055-4.1.3.11.103-TM.IS-0021;B(a)-I;F1.1;219.1x12.7+219.1x12.7;6TFL;гoдeн/appropriate;"ООО ""Сигур""";Заключение ПВК_10_134588.pdf;К16.pdf;000410
TT1701-67536;16.01.2020;P1Y18424;4.1.3.11.103;1-11-0A1050;0055-4.1.3.11.103-TM.IS-0021;B(a)-I;F1.4;219.1x12.7+219.1x12.7;8CHS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134591.pdf;К16.pdf;000413
TT1828-70577;16.01.2020;P1Y18425;4.1.3.11.103;1-11-0A1050;0055-4.1.3.11.103-TM.IS-0021;B(a)-I;F1.7;219.1x12.7+219.1x12.7;8CHS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134594.pdf;К16.pdf;000416
TT1701-67531;12.01.2020;P1Y18425;4.1.3.11.103;1-11-0A1050;0055-4.1.3.11.103-TM.IS-0021;B(a)-I;F1.11;219.1x12.7+219.1x12.7;8CHS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134595.pdf;К16.pdf;000417
TT1711-67682;25.12.2019;P1Y18428;4.1.3.11.103;1-11-0A1050;0055-4.1.3.11.103-TM.IS-002I;B(a)-I;F1.18;219.1x12.7+219.1x12.7;8CHS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134597.pdf;К16.pdf;000419
TT1701-67538;16.01.2020;P1Y18429;4.1.3.11.103;1-11-0A1050;0055-4.1.3.11.103-TM.IS-0021;B(a)-I;F1.22;219.1x12.7+219.1x12.7;8CHS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134599.pdf;К16.pdf;000421
TT1701-67523;19.12.2019;P1Y18430;4.1.3.11.103;1-11-0A1050;0055-4.1.3.11.103-TM.IS-0021;B(a)-I;F1.25;219.1x12.7+219.1x12.7;8CHS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134603.pdf;К16.pdf;000425
YMT-NS-0636-23146;26.07.2020;P1Y48886;4.1.3.11.119;HML-1-11-0A1098;0055-4.1.3.11.119-TM.IS-1032;B(a)-I;F1.4;60.3x5.54+60.3x5.54;A9EE;гoдвнтappгopate;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134608.pdf;К16.pdf;000430
YMT-NS-0636-23144;26.07.2020;P1Y48888;4.1.3.11.119;HMLU1-11-0A1098;0055-4.1.3.11.119-TM.IS-1032;B(a)-I;F1.9;33.4x4.55+33.4x4.55;A9EE;oдeн;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134609.pdf;К16.pdf;000431
YMT-NS-0636-23142;26.07.2020;P1Y48888;4.1.3.11.119;HMLU-1-11-0A1098;0055-4.1.3.11.119-TM.IS-1032;B(a)-I;F1.10;33.4x4.55+33.4x4.55;A9EE;aгтeuaгpвгopгata;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134610.pdf;К16.pdf;000432
YMT-NS-0636-23143;26.07.2020;P1Y48888;4.1.3.11.119;HMLU-1-11-0A1098;0055-4.1.3.11.119-TM.IS-1032;B(a)-I;F1.11;33.4x4.55+33.4x4.55;A9EE;oдтнгappropriate;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134611.pdf;К16.pdf;000433
