Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Номер сварного соединения;Размер свариваемых элементов;Клеймо сварщика;Заключение;Лаборатория;Файл;Оригинал;Страницы
YMT-A-0584 PT 5479;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F11;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134402.pdf;К16.pdf;000224
YMT-A-0584 PT 5480;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F12;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134404.pdf;К16.pdf;000226
YMT-A-0584 PT 5481;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F13;60.3x5.54+60.3x5.54;;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134406.pdf;К16.pdf;000228
YMT-A-0584 PT 5482;20.04.2020;NVA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F14;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134408.pdf;К16.pdf;000230
YMT-A-0584 PT 5483;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F6;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134410.pdf;К16.pdf;000232
YMT-A-0584 PT 5484;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134412.pdf;К16.pdf;000234
YMT-A-0584 PT 5485;20.04.2020;P1Y38746;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0155;B(a)-I;S2.11;60.3x5.54+60.3x5.54;543T;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134414.pdf;К16.pdf;000236
TT1471-61452;01.12.2019;P1Y4J25213;4.1.3.11.105;1-11-0A1032;0055-4.1.3.11.105-TM.IS-0001;B(a)-I;F1.1;508x26.19+508x26.19;9S669SMS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134416.pdf;К16.pdf;000238
TT1471-61457;07.12.2019;P1Y25213;4.1.3.11.105;1-11-0A1032;0055-4.1.3.11.105-TM.IS-0001;B(a)-I;F1.2;508x26.19+508x26.19;9S669SMS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134417.pdf;К16.pdf;000239
TT1471-61449;27.11.2019;P1Y24760;4.1.3.11.119;1-11-0A1032;0055-4.1.3.11.119-TM.IS-0022;B(a)-I;S1.1;508x26.19+508x26.19;"99V6543T;99FZ";гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134419.pdf;К16.pdf;000241
TT1471-61455;06.12.2019;P1Y24760;4.1.3.11.119;1-11-0A1032;0055-4.1.3.11.119-TM.IS-0022;B(a)-I;F1.8;508x26.19+508x26.19;9S669SMS;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134421.pdf;К16.pdf;000243
N M1-A-0562 P1 S987;26.04.2020;P1Y29405;41311119;1-11-01032;0055-4.1.311119-TM.IS-0024;(a)-I-B(a)-I;S33;508x26.19+508x26.19;9EPH954P99V6;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134422.pdf;К16.pdf;000244
